city,hour,avg_temp,avg_humidity,humidity_category
Gdansk,2026-03-02 18:00:00 UTC,8.09,71.83,Moderate Humidity
Gdansk,2026-03-02 17:00:00 UTC,8.54,70.17,Moderate Humidity
Poznan,2026-03-02 18:00:00 UTC,9.23,53.98,Moderate Humidity
Warsaw,2026-03-02 19:00:00 UTC,7.28,65.55,Moderate Humidity
Bydgoszcz,2026-03-02 19:00:00 UTC,8.27,74.23,Moderate Humidity
Bydgoszcz,2026-03-02 18:00:00 UTC,8.66,66.06,Moderate Humidity
Bydgoszcz,2026-03-02 17:00:00 UTC,11.04,77.83,Moderate Humidity
Krakow,2026-03-02 19:00:00 UTC,7.2,32,Low Humidity
Krakow,2026-03-02 18:00:00 UTC,7.5,28.65,Low Humidity
Krakow,2026-03-02 17:00:00 UTC,8.6,27.5,Low Humidity
Lodz,2026-03-02 19:00:00 UTC,5.97,68.9,Moderate Humidity
Lodz,2026-03-02 18:00:00 UTC,7.2,64.2,Moderate Humidity
Lodz,2026-03-02 17:00:00 UTC,8.84,56.63,Moderate Humidity
Poznan,2026-03-02 19:00:00 UTC,8.03,65.6,Moderate Humidity
Poznan,2026-03-02 17:00:00 UTC,11.6,52.35,Moderate Humidity
Warsaw,2026-03-02 18:00:00 UTC,7.86,62.4,Moderate Humidity
Warsaw,2026-03-02 17:00:00 UTC,9.5,56.15,Moderate Humidity
Wroclaw,2026-03-02 19:00:00 UTC,8.65,63.35,Moderate Humidity
Wroclaw,2026-03-02 18:00:00 UTC,7.98,63.19,Moderate Humidity
Wroclaw,2026-03-02 17:00:00 UTC,11.1,51.67,Moderate Humidity
Lublin,2026-03-02 19:00:00 UTC,5.14,87.67,High Humidity
Bialystok,2026-03-02 19:00:00 UTC,6.72,72.83,Moderate Humidity
Bialystok,2026-03-02 18:00:00 UTC,7.29,76,Moderate Humidity
Bialystok,2026-03-02 17:00:00 UTC,7.69,71.02,Moderate Humidity
Szczecin,2026-03-02 19:00:00 UTC,7.69,83.35,High Humidity
Szczecin,2026-03-02 18:00:00 UTC,8.39,83.13,High Humidity
Szczecin,2026-03-02 17:00:00 UTC,10.74,77.12,Moderate Humidity
Lublin,2026-03-02 18:00:00 UTC,5.52,86.31,High Humidity
Lublin,2026-03-02 17:00:00 UTC,7,84.33,High Humidity
