city,hour,avg_temp,min_temp,max_temp
Warsaw,2026-03-02 15:00:00 UTC,11.6686,11.35,11.95
Warsaw,2026-03-02 16:00:00 UTC,10.751960784313725,10.33,11.07
Warsaw,2026-03-02 17:00:00 UTC,9.4984615384615356,8.72,10.22
Warsaw,2026-03-02 18:00:00 UTC,7.8563461538461521,7.14,8.61
Warsaw,2026-03-02 19:00:00 UTC,7.2848936170212744,6.92,7.73
Warsaw,2026-03-02 20:00:00 UTC,7.5692,7.19,7.73
Warsaw,2026-03-02 21:00:00 UTC,6.7408928571428577,6.42,7.12
Warsaw,2026-03-02 22:00:00 UTC,6.0480000000000018,5.79,6.27
Wroclaw,2026-03-02 13:00:00 UTC,13.085641025641026,12.79,13.22
Wroclaw,2026-03-02 14:00:00 UTC,13.1306,12.79,13.49
Wroclaw,2026-03-02 15:00:00 UTC,13.308599999999998,12.99,13.53
Wroclaw,2026-03-02 16:00:00 UTC,12.827058823529413,12.32,13.38
Wroclaw,2026-03-02 17:00:00 UTC,11.096923076923076,10.01,12.06
Wroclaw,2026-03-02 18:00:00 UTC,7.981923076923076,6.22,9.12
Wroclaw,2026-03-02 19:00:00 UTC,8.64576923076923,7.07,9.88
Wroclaw,2026-03-02 20:00:00 UTC,7.6476470588235284,6.44,8.49
Wroclaw,2026-03-02 21:00:00 UTC,6.9794,5.71,7.64
Wroclaw,2026-03-02 22:00:00 UTC,6.7395,6.69,6.8
